e, e_dot, e_int, stamp, 
6.6641782834878285, -0.045413154188021686, 1.3341980914896614, 503018000000, 
6.6573660210606596, -0.04541612684066424, 1.3328356775774233, 503086000000, 
6.653960284930435, -0.034059995191310456, 1.3317003059652615, 503120000000, 
6.647149002879245, -0.034056727271381725, 1.330565020591356, 503188000000, 
6.640340195354762, -0.04540029858557837, 1.329429965544296, 503256000000, 
6.633534071824448, -0.04538310351599092, 1.328068218003897, 503324000000, 
6.626729901990838, -0.04536764454641388, 1.3267069446113364, 503392000000, 
6.623328520911106, -0.034018503044472105, 1.3255728329817593, 503426000000, 
6.616526493214267, -0.03401136258856852, 1.3244389944077473, 503494000000, 
6.606324858428541, -0.05667887494188525, 1.323078658170261, 503596000000, 
6.602925197527009, -0.045337652290860696, 1.321718436611321, 503630000000, 
6.59612707115923, -0.03399262423103622, 1.3203584751409854, 503698000000, 
6.58593326088041, -0.05663978882199494, 1.3189990353044432, 503800000000, 
6.579139854869961, -0.056624054297561933, 1.3174133457939734, 503868000000, 
6.572349108071582, -0.045280509362761734, 1.3158281482547967, 503936000000, 
6.565561472679381, -0.04526127396860128, 1.3144700290413949, 504004000000, 
6.558775150147334, -0.04524652641415846, 1.3131123820598862, 504072000000, 
6.551990119226602, -0.045237844842596076, 1.3117551161368877, 504140000000, 
6.545207431783847, -0.04522572787829008, 1.3103981800771856, 504208000000, 
6.538426530969137, -0.04521196085821503, 1.3090416054653058, 504276000000, 
6.5316085661381305, -0.04532955215238962, 1.3076828352594076, 504344000000, 
6.52484328370047, -0.04527749089555814, 1.3063252253871827, 504412000000, 
6.518075312473575, -0.04511084554851941, 1.3049684774874784, 504480000000, 
6.511333171935467, -0.0450337058833424, 1.303616784540634, 504548000000, 
6.504587865516157, -0.04495815652472442, 1.3022664233283467, 504616000000, 
6.497851136572758, -0.04494011787569659, 1.3009181449349587, 504684000000, 
6.491126233338745, -0.04487210725804047, 1.2995710156951774, 504752000000, 
6.487763987044119, -0.03362383176213216, 1.2984494237970414, 504786000000, 
6.481036773434067, -0.03363153301559526, 1.297328466254462, 504854000000, 
6.474310501011052, -0.04484495344355466, 1.2962074174326157, 504922000000, 
6.46758394142169, -0.04484277337458783, 1.2948620810577873, 504990000000, 
6.460858708729134, -0.04483930760639391, 1.293516876744125, 505058000000, 
6.4541356839180395, -0.04482752501216917, 1.2921718889379243, 505126000000, 
6.450773201791068, -0.033618356460219566, 1.2910511729625496, 505160000000, 
6.444051336174438, -0.033614492478672986, 1.2899306814589029, 505228000000, 
6.440691572890225, -0.03360542966947655, 1.2890344073903819, 505262000000, 
6.433973897306228, -0.033591462894030734, 1.2879144537580594, 505330000000, 
6.427259155040357, -0.04477472616622791, 1.2867949750157874, 505398000000, 
6.420547351651447, -0.044755152182605805, 1.2854520269332022, 505466000000, 
6.4138379626182465, -0.04473730807370124, 1.2841096312873366, 505534000000, 
6.407131570376566, -0.04471927091626841, 1.2827677923097507, 505602000000, 
6.403779565141558, -0.033527991588962656, 1.2816499398757581, 505636000000, 
6.397076604606131, -0.03351655256811803, 1.2805325160082834, 505704000000, 
6.393726071045508, -0.03351164698683166, 1.2796388160528798, 505738000000, 
6.387026544968642, -0.03350019879162799, 1.278521948041352, 505806000000, 
6.380328671293126, -0.04465799917460581, 1.2774054191538184, 505874000000, 
6.373632544799956, -0.04464666722895435, 1.2760658507374485, 505942000000, 
6.366937919617466, -0.04463583891886872, 1.27472660904737, 506010000000, 
