odom_x, odom_y, imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-1.999941571066619, -0.5000009946234184, -0.07988573721034027, -0.004359368420432568, -0.07909413682215555, -1.4990208512912167e-09, -0.0016981652531201197, 8.827296687039111e-07, -1.9998370565791952, -0.5000009945925327, 16981000000, 
-1.999941574119272, -0.5000009946772793, -0.017651283488589575, -0.00832070874241431, -0.041109198658429595, -1.2216575778659061e-08, -0.001352338262003188, 9.033668662574794e-06, -1.9998452003217324, -0.5000009945790783, 17011000000, 
-1.999941589880391, -0.5000009945739297, -0.03202310373168287, 0.004831291234026275, -0.035487409319835156, 5.65713057883436e-10, -0.0008833694305188885, -6.40403706919242e-07, -1.9998546682268343, -0.5000009945569671, 17036000000, 
-1.9999415941477325, -0.5000009946870252, -0.055580108879610124, -0.00466434386400013, -0.04790154438679971, -1.4707594326044164e-09, -0.0006517556158965837, 2.256611829237827e-06, -1.9998571197522312, -0.5000009945541787, 17056000000, 
-1.9999415926184045, -0.5000009946829058, -0.039661475669132765, 0.010800573046362798, -0.04279874889626316, 3.3950956077858547e-09, -0.0009634055189369122, -3.5240566314507276e-06, -1.9998507856374081, -0.5000009945652327, 17097000000, 
-1.9999415861883743, -0.5000009946777336, -0.05135697785753873, 0.014693867105155071, -0.04807051321445674, 1.2760980523306017e-08, -0.0012595375599520023, -1.0131480734716878e-05, -1.999844056634639, -0.5000009945746202, 17149000000, 
-1.9999415707835302, -0.5000009946540901, -0.06312515186024968, 0.023333484279412373, -0.05735939647195667, 2.8653481774202735e-08, -0.0012981326898152921, -2.2072845094348377e-05, -1.9998403036119092, -0.5000009945655518, 17190000000, 
-1.9999415494563326, -0.5000009946995724, -0.03389138322895889, -0.002994910997253954, -0.04284087765841156, 7.836046390278864e-09, -0.0012905216938065983, -6.071998965910603e-06, -1.9998397996946564, -0.5000009945634355, 17231000000, 
-1.9999415537689016, -0.5000009946519136, -0.07870034166763519, -0.005346128159766747, -0.06499453869850397, -1.97811149179585e-09, -0.0010428719258399992, 1.8967923507985375e-06, -1.999839697714668, -0.5000009945520222, 17258000000, 
-1.9999415571701642, -0.5000009947058732, -0.0255878102015663, -0.005066931698684064, -0.04063672724538653, -2.7566776289921797e-09, -0.0006972029434757665, 3.953909912154576e-06, -1.9998412998202186, -0.5000009945455054, 17273000000, 
